O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*1*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*2*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*3*/
O, O, O, O, O, O, O, I, I, I, I, O, O, O, O, O, O, O, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O, O, I, I, I, O, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O,   /*4*/
O, O, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*5*/
O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*6*/
O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, I, I, I, O, O, O, O, O,   /*7*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, I, I, I, O, O, O, O, O,   /*8*/
O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O, O, O, I, I, I, I, O, O, O, O, O,   /*9*/
O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O,   /*10*/
O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O,   /*12*/
O, O, O, O, O, O, I, I, O, O, O, O, O, I, I, I, I, I, I, O, O, O, O, I, I, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O,   /*13*/
O, O, O, O, O, I, I, I, I, I, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O,   /*14*/
O, O, O, O, O, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O,   /*15*/
O, O, O, O, O, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O,   /*16*/
O, O, O, O, O, I, I, I, I, I, O, O, O, O, I, I, I, I, I, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*17*/
O, O, O, O, O, I, I, I, I, I, O, O, I, I, I, I, I, I, I, O, O, I, I, I, I, I, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O, I, I, O, O, O, O, O, O,   /*18*/
O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, O, O,   /*19*/
O, O, O, O, O, I, I, I, O, O, O, O, I, I, O, O, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, O, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O,   /*20*/
O, O, O, O, O, I, I, I, O, O, I, I, I, I, O, O, I, I, I, O, O, O, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O, I, I, I, I, I, O, O, I, I, I, I, I, I, I, O, O, O, O, O,   /*21*/
O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, I, I, I, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O,   /*22*/
O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O,   /*23*/
O, O, O, O, O, O, O, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O,   /*24*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O,   /*25*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O, I, I, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*26*/
O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*27*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, I, I, I, I, O, O, O, O, O, O, O,   /*28*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O,   /*29*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*30*/
O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*31*/
O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*32*/
O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, O, O, O, O, O,   /*33*/
O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O,   /*34*/
